Tangra v3.6.0.17
Measurments of 1 objects
C:\Users\joelhcch\Documents\2022A\Clases\LAB_Avanzado_UABC\ReducirDatos\Fotos 2019-06-19 Pruebas Finales\Prueba1 1.6mm2.18m
Asteroidal Video (FITS.16::SEQ), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,,,1,953,,FITS

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,15.00,2.00,NaN,yes,41.0,32.0,no


FrameNo,Time (JD),SignalMinusBackground (1)
813,2458654.3019675,5811700
814,2458654.30196833,5828600
815,2458654.30196866,5840600
816,2458654.30196926,5845200
817,2458654.30196985,5911200
818,2458654.30197114,5964000
819,2458654.30197115,5885200
820,2458654.30197163,5902000
821,2458654.30197224,5836800
822,2458654.30197282,5816300
823,2458654.30197394,5894900
824,2458654.30197401,5865100
825,2458654.30197461,5922300
826,2458654.30197522,5934700
827,2458654.3019758,6003900
828,2458654.30197685,5903200
829,2458654.30197699,5873800
830,2458654.30197759,5821300
831,2458654.30197817,5817400
832,2458654.30197877,5828000
833,2458654.30197972,5873200
834,2458654.30197995,5903400
835,2458654.30198057,5930100
836,2458654.30198115,5946000
837,2458654.30198176,5903900
838,2458654.30198269,5861600
839,2458654.30198293,5881700
840,2458654.30198353,5870200
841,2458654.30198413,5882700
842,2458654.30198471,5903600
843,2458654.30198567,5900100
844,2458654.3019859,5903600
845,2458654.3019865,5904900
846,2458654.3019871,5897700
847,2458654.30198768,5838100
848,2458654.30198864,5827500
849,2458654.30198887,5814300
850,2458654.30198948,5855000
851,2458654.30199006,5927300
852,2458654.30199067,5878300
853,2458654.30199154,5868100
854,2458654.30199185,5886700
855,2458654.30199244,5855200
856,2458654.30199305,5822000
857,2458654.30199364,5841400
858,2458654.30199451,5829900
859,2458654.30199481,5898800
860,2458654.3019955,5904600
861,2458654.301996,5872500
862,2458654.30199661,5838700
863,2458654.30199748,5833400
864,2458654.30199779,5844100
865,2458654.30199838,5879400
866,2458654.30199899,5873000
867,2458654.30199957,5869500
868,2458654.30200036,5906200
869,2458654.30200077,5974300
870,2458654.30200135,5913200
871,2458654.30200195,5892200
872,2458654.30200255,5897600
873,2458654.30200343,5852500
874,2458654.30200373,5918600
875,2458654.30200434,5889100
876,2458654.30200493,5885100
877,2458654.30200552,5833700
878,2458654.30200632,5893800
879,2458654.30200671,5891500
880,2458654.30200731,5849400
881,2458654.30200789,5939000
882,2458654.3020085,5899200
883,2458654.30200937,5860300
884,2458654.30200967,5891800
885,2458654.30201027,5846800
886,2458654.30201086,5877500
887,2458654.30201147,5914200
888,2458654.3020123,5875100
889,2458654.30201265,5859800
890,2458654.30201325,5832400
891,2458654.30201385,5829900
892,2458654.30201502,5850100
893,2458654.30201503,5854300
894,2458654.30201563,5873900
895,2458654.30201621,5902300
896,2458654.30201682,5870800
897,2458654.30201794,5889200
898,2458654.30201801,5853500
899,2458654.3020186,5847300
900,2458654.30201918,5881900
901,2458654.3020198,5875200
902,2458654.30202097,5935600
903,2458654.30202097,5883700
904,2458654.30202157,5865800
905,2458654.30202217,5846800
906,2458654.30202275,5881300
907,2458654.30202388,5858900
908,2458654.30202395,5869800
909,2458654.30202455,5943300
910,2458654.30202513,5873600
911,2458654.30202572,5859200
912,2458654.30202691,5875200
913,2458654.30202691,5808000
914,2458654.30202752,5866500
915,2458654.30202812,5899500
916,2458654.30202871,5875900
917,2458654.30202987,5853200
918,2458654.30202989,5850500
919,2458654.30203048,5897500
920,2458654.30203108,5878100
921,2458654.30203167,5861700
922,2458654.30203298,5846300
923,2458654.30203299,5887900
924,2458654.30203347,5930200
925,2458654.30203406,5862400
926,2458654.30203466,5871900
927,2458654.30203582,5809200
928,2458654.30203584,5859500
929,2458654.30203644,5890300
930,2458654.30203703,5851600
931,2458654.30203763,5859000
932,2458654.30203822,5876100
933,2458654.30203893,5940100
934,2458654.3020394,5849500
935,2458654.30204001,5922300
936,2458654.30204067,5833300
937,2458654.30204176,5894900
938,2458654.30204179,5921700
939,2458654.30204237,5948900
940,2458654.30204298,5909600
941,2458654.30204357,5892400
942,2458654.30204468,5894100
943,2458654.30204475,5882500
944,2458654.30204535,5898100
945,2458654.30204593,5845200
946,2458654.30204655,5895800
947,2458654.30204758,5877400
948,2458654.30204774,5901500
949,2458654.30204831,5859100
950,2458654.30204892,5871900
951,2458654.30204951,5871700
952,2458654.30205063,5897700
953,2458654.3020507,5912500
