Tangra v3.6.0.17
Measurments of 1 objects
C:\Users\joelhcch\Documents\2022A\Clases\LAB_Avanzado_UABC\ReducirDatos\Fotos 2019-06-19 Pruebas Finales\Prueba1 1.6mm2.18m
Asteroidal Video (FITS.16::SEQ), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,,,1,953,,FITS

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,15.00,2.00,NaN,yes,41.0,32.0,no


FrameNo,Time (JD),SignalMinusBackground (1)
77,2458654.30152998,5996100
78,2458654.30153059,5952200
79,2458654.30153143,5998800
80,2458654.30153177,6034700
81,2458654.30153235,5896600
82,2458654.30153295,5851700
83,2458654.30153423,5973100
84,2458654.30153423,5987100
85,2458654.30153474,6043200
86,2458654.30153534,5996000
87,2458654.30153592,5978500
88,2458654.30153704,6012200
89,2458654.30153711,5955500
90,2458654.30153771,5906100
91,2458654.3015383,5920000
92,2458654.3015389,5962400
93,2458654.30154001,5995600
94,2458654.30154008,6007800
95,2458654.30154067,5957400
96,2458654.30154127,5946000
97,2458654.30154187,6032100
98,2458654.30154299,6030100
99,2458654.30154307,5954500
100,2458654.30154366,5934200
101,2458654.30154424,5916200
102,2458654.30154484,5921700
103,2458654.30154588,5953600
104,2458654.30154602,5888800
105,2458654.30154662,5926400
106,2458654.30154722,6013600
107,2458654.30154781,5991100
108,2458654.30154894,5972100
109,2458654.30154901,5905800
110,2458654.30154961,5936600
111,2458654.3015502,5975900
112,2458654.30155079,5990400
113,2458654.30155183,6018200
114,2458654.30155197,5990400
115,2458654.30155257,6015500
116,2458654.30155317,5993200
117,2458654.30155375,5896600
118,2458654.30155488,5923600
119,2458654.30155494,5962500
120,2458654.30155554,5979700
121,2458654.30155614,5978700
122,2458654.30155672,5942500
123,2458654.30155785,5942400
124,2458654.30155792,5971300
125,2458654.30155852,5916700
126,2458654.3015591,5923300
127,2458654.3015597,5935300
128,2458654.30156074,6055100
129,2458654.30156088,5982800
130,2458654.30156149,6035500
131,2458654.30156207,5909200
132,2458654.30156267,5929700
133,2458654.30156364,5930100
134,2458654.30156387,5951900
135,2458654.30156447,5882800
136,2458654.30156506,5955500
137,2458654.30156565,6026900
138,2458654.30156668,6026700
139,2458654.30156685,6021200
140,2458654.30156743,6008400
141,2458654.30156802,6016200
142,2458654.30156862,5958300
143,2458654.30156957,5891900
144,2458654.30156981,5939600
145,2458654.3015704,5968400
146,2458654.301571,6009400
147,2458654.30157159,5935900
148,2458654.30157271,6016100
149,2458654.30157278,5966300
150,2458654.30157338,5947300
151,2458654.30157397,5958400
152,2458654.30157456,5972200
153,2458654.30157587,5954700
154,2458654.30157587,5981600
155,2458654.30157635,5969300
156,2458654.30157706,5965600
157,2458654.30157753,5942900
